SKU,Ahmedabad,Bengaluru,Bhubaneswar,Chandigarh,Chennai,Coimbatore,Delhi,Gurugram,Hyderabad,Indore,Jaipur,Kochi,Kolkata,Lucknow,Mumbai,Mysuru,Nagpur,Nashik,Noida,Pune,Surat,Thiruvananthapuram,Vadodara,Vijayawada,Visakhapatnam
Jivo Extra Light Olive Oil 1L,0%,83%,0%,71.4%,0%,0%,93.2%,75%,0%,0%,0%,0%,0%,0%,0%,58.8%,0%,0%,88.9%,0%,0%,0%,6.2%,0%,0%
Jivo Canola Cold Pressed Edible Oil 1L,0%,85.2%,0%,95.2%,0%,0%,96.6%,75%,0%,0%,0%,0%,0%,0%,84.3%,85.3%,0%,92.3%,88.9%,0%,0%,0%,6.2%,0%,0%
Jivo Pomace Olive Oil 1L,0%,85.2%,0%,100%,0%,0%,96.6%,75%,0%,0%,0%,0%,0%,0%,73.5%,97.1%,0%,100%,88.9%,92.5%,0%,0%,6.2%,0%,0%
