SKU,Andhra Pradesh,Chandigarh,Delhi,Gujarat,Haryana,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Odisha,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
Jivo Extra Light Olive Oil 1L,0%,71.4%,93.2%,1.3%,75%,76.2%,0%,0%,0%,0%,0%,0%,0%,21.6%,0%
Jivo Canola Cold Pressed Edible Oil 1L,0%,95.2%,96.6%,1.3%,75%,85.2%,0%,0%,46.9%,0%,0%,0%,0%,21.6%,0%
Jivo Pomace Olive Oil 1L,0%,100%,96.6%,1.3%,75%,88.5%,0%,0%,70.3%,0%,0%,0%,0%,21.6%,0%
