platform,pincode,city,date_ist,run_id,status,sku_count,price_seen
amazon-fresh,110059,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,1193
amazon-fresh,110060,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,110061,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,379
amazon-fresh,110062,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,909
amazon-fresh,110063,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,9,1193
amazon-fresh,110064,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,4,1545
amazon-fresh,110065,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1049
amazon-fresh,110066,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,3,1545
amazon-fresh,110067,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,11,959
amazon-fresh,110068,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,8,1193
amazon-fresh,110069,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1545
amazon-fresh,110070,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,10,959
amazon-fresh,110071,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,7,1545
amazon-fresh,110072,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,6,1205
amazon-fresh,110073,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,1,242
amazon-fresh,110074,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,8,1049
amazon-fresh,110075,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,4,1545
amazon-fresh,110076,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,5,1193
amazon-fresh,110077,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,13,959
amazon-fresh,110078,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,4,1545
amazon-fresh,110080,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,8,1049
amazon-fresh,110081,Delhi,2026-06-30,2026-06-30-amzcov-fresh,not_serviceable,0,
amazon-fresh,110082,Delhi,2026-06-30,2026-06-30-amzcov-fresh,price_captured,1,242
